playerId	playerName	position	team	point
122	D. Mertens	[{'y': 72, 'x': 68}, {'y': 76, 'x': 67}]	Belgium	53
25707	E. Hazard	[{'y': 57, 'x': 70}, {'y': 55, 'x': 68}]	Belgium	160
10014	S. Ben Youssef	[{'y': 43, 'x': 30}, {'y': 45, 'x': 32}]	Tunisia	9
120784	F. Ben Mustapha	[{'y': 66, 'x': 12}, {'y': 89, 'x': 18}]	Tunisia	41
295747	D. Bronn	[{'y': 95, 'x': 23}, {'y': 85, 'x': 14}]	Tunisia	15
120839	A. Ma\u00e2loul	[{'y': 9, 'x': 29}, {'y': 33, 'x': 31}]	Tunisia	6
48	J. Vertonghen	[{'y': 39, 'x': 30}, {'y': 7, 'x': 76}]	Belgium	60
3429	T. Courtois	[{'y': 34, 'x': 5}, {'y': 18, 'x': 57}]	Belgium	111
275243	S. Khaoui	[{'y': 73, 'x': 66}, {'y': 74, 'x': 68}]	Tunisia	5
134769	Y. Carrasco	[{'y': 4, 'x': 70}, {'y': 7, 'x': 77}]	Belgium	46
21333	Y. Benalouane	[{'y': 83, 'x': 43}, {'y': 84, 'x': 51}]	Tunisia	6
8249	M. Fellaini	[{'y': 27, 'x': 37}, {'y': 27, 'x': 32}]	Belgium	27
38093	M. Batshuayi	[{'y': 18, 'x': 63}, {'y': 18, 'x': 56}]	Belgium	13
263802	Y. Tielemans	[{'y': 84, 'x': 44}, {'y': 94, 'x': 39}]	Belgium	13
340386	Gabriel Jesus	[{'y': 49, 'x': 50}, {'y': 42, 'x': 38}]	Brazil	51
40756	Casemiro	[{'y': 42, 'x': 38}, {'y': 65, 'x': 42}]	Brazil	85
40550	Paulinho	[{'y': 65, 'x': 42}, {'y': 35, 'x': 29}]	Brazil	35
3431	Jo\u00e3o Miranda	[{'y': 35, 'x': 29}, {'y': 32, 'x': 38}]	Brazil	71
3802	Philippe Coutinho	[{'y': 32, 'x': 38}, {'y': 31, 'x': 29}]	Brazil	70
3310	Marcelo	[{'y': 7, 'x': 41}, {'y': 12, 'x': 35}]	Brazil	68
383	D. Tadi\u0107	[{'y': 88, 'x': 65}, {'y': 100, 'x': 66}]	Serbia	38
424241	N. Milenkovi\u0107	[{'y': 88, 'x': 38}, {'y': 72, 'x': 64}]	Serbia	48
